schema_version,destination_id,airport_id,tourism_rank,tourism_score,destination_name,weather_region,season,airport_filter,best_highlight,best_highlight_type,best_access_mode,best_access_minutes,best_distance_km,city_status,beach_status,lake_status,mountain_status,wellness_status,transfer_default,transfer_minutes,tourism_comment,tourism_confidence,source_tourism,data_checked_at
1.2,EDTZ,EDTZ,11,9.3,Konstanz / Bodensee,,,aktiv – Qualitätsliste,"Strandbad Horn, Bodensee",See,Fahrrad,11,2.12,Nein,Nein,Ja,Nein,Ja,Fahrrad direkt,,See direkt; Therme per Fahrrad im Grenzbereich.,hoch,https://www.konstanz-info.com/,2026-08-02
1.2,EDXW,EDXW,12,9.3,Sylt,,,aktiv – Qualitätsliste,Syltness Center Westerland,Wellness,Fahrrad,13,2.58,Nein,Ja,Nein,Nein,Ja,Fahrrad direkt,,Ausgeprägtes Premium-Strand- und Wellnessziel.,hoch,https://www.sylt.de/,2026-08-02
1.2,LOWK,LOWK,13,9.3,Klagenfurt / Wörthersee,,,aktiv – Qualitätsliste,Das Seepark Wörthersee Resort,Wellness,Fahrrad,34,6.45,Nein,Nein,Ja,Nein,Ja,Mietwagen direkt,,See und Wellness klar; Bergbahnen liegen weiter entfernt.,hoch,https://www.visitklagenfurt.at/,2026-08-02
1.2,EDWY,EDWY,14,9.2,Norderney,,,aktiv – Qualitätsliste,Nordstrand Norderney,Strand,Fahrrad,26,4.97,Nein,Ja,Nein,Nein,Ja,Fahrrad direkt,,Sehr starkes Strand- und Wellnessprofil.,hoch,https://www.norderney.de/,2026-08-02
1.2,LFGA,LFGA,15,9.2,Colmar / Weinorte,Elsass/Vogesen,Herbst/Winter,Passt,Altstadt Colmar,Stadt,Auto,16,10.2,Ja,Nein,Nein,Grenzfall,Grenzfall,Taxi/Mietwagen,10,"Colmar ist ein ausgeprägtes Stadt- und Kulturziel mit Altstadt, Kanälen und Weinorten.",mittel,https://www.tourisme-colmar.com/en/,2026-08-02
1.2,EDTF,EDTF,16,9.1,Freiburg / Altstadt / Schlossberg,,,aktiv – Qualitätsliste,Freiburger Altstadt und Münster,Stadt,Fahrrad,18,3.4,Ja,Nein,Nein,Grenzfall,Nein,Fahrrad direkt,,"Stadt- und Kulturziel mit Münster, Münstermarkt, Bächle, Altstadt und Schlossberg.",hoch,https://visit.freiburg.de/,2026-08-02
1.2,EDWJ,EDWJ,17,9.1,Juist,,,aktiv – Qualitätsliste,TöwerVital Juist,Wellness,Fahrrad,20,3.86,Nein,Ja,Nein,Nein,Ja,Fahrrad direkt,,Strand quer über die schmale Insel; Wellnessangebot ausgeprägt.,hoch,https://www.juist.de/auf-der-insel/poi/detail/flugplatz-juist,2026-08-02
1.2,LDPV,LDPV,18,9.1,Vrsar / Rovinj / Istrien,,,aktiv – Qualitätsliste,Petalon Vrsar,Strand,Fahrrad,15,2.92,Nein,Ja,Nein,Nein,Nein,Mietwagen direkt,,"Ausgezeichnetes Meer-, Sonne-, SUP- und Altstadtziel. 700-m-Asphaltpiste mit Gefälle/Steigung; bei großer Hitze Leistungsrechnung besonders wichtig.",hoch,https://www.crocontrol.hr/,2026-08-02
1.2,EDFR,EDFR,19,9,Rothenburg ob der Tauber,,,aktiv – Qualitätsliste,,,,,,Nein,Nein,Nein,Nein,Nein,Fahrrad direkt,,"Idealer Stadt-&-Kultur-Kurzbesuch: vollständig ummauerte Altstadt, Marktplatz, Plönlein und Stadtmauer. Der Aero-Club verleiht kostenlos Fahrräder; zu Fuß etwa 45 Minuten, alternativ Taxi. Dezember bis Februar PPR; an schönen Tagen häufig Fallschirmsprungbetrieb.",hoch,https://www.rothenburg.de/,2026-08-02
1.2,EDQA,EDQA,20,8.9,Bamberg / UNESCO-Altstadt,,,aktiv – Qualitätsliste,,,,,,Nein,Nein,Nein,Nein,Nein,Taxi/ÖPNV/Transfer prüfen,,"Sehr guter Stadt-&-Kultur-Kurzbesuch: Dom, Altes Rathaus, Klein Venedig, historische Altstadt und Brauereigastronomie. Der Platz liegt nur 1 NM nordöstlich des Stadtzentrums. Nach aktueller Betreiberinformation ist für alle An- und Abflüge Online-PPR erforderlich.",hoch,https://www.bamberg.info/sehenswertes/,2026-08-02
1.2,LOGO,LOGO,21,8.9,Niederöblarn / Schladming-Dachstein,,,aktiv – Qualitätsliste,sportsarea Grimming (am Platz),Wellness,zu Fuß,9,0.58,Nein,Nein,Nein,Ja,Ja,Taxi/ÖPNV/Transfer prüfen,,"Hotel, Café und Wellness direkt am Flugplatz; ausgeprägtes Berg- und Wanderangebot. PPR und mögliche Turbulenz/Fallwind bei NW-Wind.",hoch,https://www.sportsarea.at/,2026-08-02
1.2,LOLU,LOLU,22,8.9,Gmunden / Traunsee / Grünberg,,15.03.–15.10.,aktiv – Qualitätsliste,Grünbergseilbahn Gmunden,Berg,Fahrrad,13,2.43,Nein,Nein,Ja,Ja,Nein,Taxi/ÖPNV/Transfer prüfen,,Sehr starker See- und Bergausflug. Öffentlicher ziviler Sportflugplatz; Gastpiloten werden ausdrücklich angesprochen.,hoch,https://www.fliegerclub-traunsee.at/der-flugplatz/,2026-08-02
1.2,EDAH,EDAH,23,8.8,Heringsdorf / Usedom,,,aktiv – Qualitätsliste,Strandpromenade Heringsdorf,Strand,Auto,14,9.28,Nein,Ja,Nein,Nein,Ja,Mietwagen direkt,,Starkes Strand- und Wellnessziel.,hoch,https://usedom.de/,2026-08-02
1.2,LFMU,LFMU,24,8.8,Béziers / Cap d’Agde / Portiragnes,,,aktiv – Qualitätsliste,Plage de Portiragnes,Strand,Fahrrad,27,5.2,Nein,Ja,Nein,Nein,Nein,Mietwagen direkt,,"Sehr gutes Sonne-, Strand-, SUP- und Wassersportziel. Stark frequentierter GA-Platz; Flugwunsch vorab an Airport Operations senden.",hoch,https://www.beziers.aeroport.fr/en/aviation-privee/aviation-privee/,2026-08-02
1.2,LILQ,LILQ,25,8.8,Massa-Cinquale / Versilia,,,aktiv – Qualitätsliste,"Bagno Annetta, Forte dei Marmi",Strand,Fahrrad,22,4.2,Nein,Ja,Nein,Ja,Ja,Fahrrad direkt,,"Sehr starke Kombination aus Strand, Bergen und Premium-Wellness.",hoch,https://www.visittuscany.com/,2026-08-02
1.2,LOWI,LOWI,26,8.8,Innsbruck,Nordalpen,Herbst/Winter,Mit Vorbehalt,Hungerburgbahn Talstation,Berg,Fahrrad,21,4.07,Nein,Nein,Nein,Ja,Grenzfall,Bus F,15,Bergzugang eindeutig; Wellness eher ergänzend als Kernprofil.,hoch,https://www.innsbruck.info/en/,2026-08-02
1.2,LDLO,LDLO,27,8.7,Mali Lošinj,Kvarner,Frühling–Herbst,Passt,Plaža Čikat,Strand,Fahrrad,20,3.89,Nein,Ja,Nein,Nein,Ja,Taxi/Shuttle,15,"Eines der stärksten Inselziele: klares Wasser, Buchten, SUP, Boot und Familienurlaub. PPR/Parkplatz früh bestätigen; Handling und Gebühren sind gestiegen.",hoch,https://www.visitlosinj.hr/,2026-08-02
1.2,LFLP,LFLP,28,8.7,Annecy / Lac d’Annecy,Alpenseen,Frühling–Herbst,Passt,"Plage d’Albigny, Lac d’Annecy",See,Fahrrad,22,4.28,Nein,Nein,Ja,Grenzfall,Grenzfall,Taxi/Mietwagen,35,See eindeutig; Berg und Wellness als ergänzende Grenzfälle.,hoch,https://en.lac-annecy.com/,2026-08-02
1.2,LSGT,LSGT,29,8.7,Gruyères,,,aktiv – Qualitätsliste,Plage Lac de la Gruyère,See,Auto,14,9.48,Nein,Nein,Ja,Ja,Ja,Fahrrad direkt,,"See, Berge und Thermalbad jeweils nah erreichbar.",hoch,https://www.la-gruyere.ch/,2026-08-02
1.2,EDWL,EDWL,30,8.6,Langeoog,Nordsee/Ostsee,Sommer/Herbst,Passt,Meerwasser-Erlebnisbad Langeoog,Wellness,Fahrrad,8,1.54,Nein,Ja,Nein,Nein,Ja,Inselbahn / zu Fuß,10,Autofreie Insel; Strand und Wellness mit Fahrrad schnell erreichbar.,hoch,https://www.langeoog.de/,2026-08-02
1.2,EGHR,EGHR,31,8.6,Goodwood / Chichester,Chichester / South Downs,Frühling–Herbst,aktiv – Qualitätsliste A,Goodwood Estate & Motor Circuit,Ausflug,Taxi/Auto,10,,Nein,Ja,Ja,Nein,Ja,Taxi/Auto,10,"All-grass-Flugplatz am Goodwood Estate; West Wittering, Chichester Harbour, South Downs und Goodwood Spa sind gut erreichbar.",hoch,https://www.goodwood.com/flying/pilot-information/,2026-08-13
1.2,EHAL,EHAL,32,8.6,Ameland,Nordsee/Ostsee,Sommer,Mit Vorbehalt,Nordseestrand Ameland,Strand,Fahrrad,13,2.51,Nein,Ja,Nein,Nein,Grenzfall,Taxi / Fahrradlieferung,15,"Strand eindeutig; Wellness vorhanden, aber weniger konzentriert als auf Sylt/Norderney.",mittel,https://www.vvvameland.nl/en/,2026-08-02
1.2,EKVJ,EKVJ,33,8.6,Hvide Sande / Ringkøbing,Nordsee/Ostsee,Sommer/Herbst,Passt,Hvide Sande Strand Süd,Strand,Auto,21,13.81,Nein,Ja,Ja,Nein,Nein,Mietwagen/Taxi,35,Fjord ist unmittelbar regional prägend; Nordseestrand per Auto unter 20 Minuten.,hoch,https://www.visitvesterhavet.com/,2026-08-02
1.2,LFKF,LFKF,34,8.6,Figari / Bonifacio,,,aktiv – Qualitätsliste,"Plage de San Giovanni, Pianottoli",Strand,Fahrrad,31,5.99,Nein,Ja,Nein,Nein,Nein,Mietwagen direkt,,"Sehr stark für Bonifacio, Porto-Vecchio, Strände, SUP und Boot. General Aviation nur per Routine-PPR; Mietwagen ist praktisch unverzichtbar.",mittel,https://www.bonifacio.fr/,2026-08-02
1.2,EKAE,EKAE,35,8.5,Ærø,Nordsee/Ostsee,Sommer,Passt,"Vester Strand, Ærø",Strand,Fahrrad,22,4.33,Nein,Ja,Nein,Nein,Nein,Taxi / Hoteltransfer,15,Inselziel mit kurzen Wegen zu Küste und Strand.,mittel,https://www.visitaeroe.com/,2026-08-02
1.2,LFRD,LFRD,36,8.5,Dinard / Saint-Malo,,,aktiv – Qualitätsliste,"Plage Saint-Enogat, Dinard",Strand,Fahrrad,30,5.74,Nein,Ja,Nein,Nein,Ja,Taxi/ÖPNV/Transfer prüfen,,Klassisches Küsten- und Thalassoziel.,hoch,https://www.dinardemeraudetourisme.com/,2026-08-02
1.2,LJBO,LJBO,37,8.5,Bovec / Soča-Tal,,,aktiv – Qualitätsliste,Boka-Wasserfall / Soča-Tal,Berg,Fahrrad,23,4.48,Nein,Nein,Nein,Ja,Nein,Taxi/ÖPNV/Transfer prüfen,,"Sehr starkes Natur- und Fun-Ziel: Wandern, Rafting, Kajak und Canyoning. Routine-PPR spätestens zwei Stunden vor Ankunft.",hoch,https://www.bovec-airport.com/,2026-08-02
1.2,EDGE,EDGE,38,8.4,Eisenach / Wartburg,,,aktiv – Qualitätsliste,Drachenschlucht Eisenach,Berg,Auto,19,12.25,Nein,Nein,Nein,Ja,Nein,Mietwagen direkt,,Ausgeprägtes Wanderziel; keine relevante See- oder Wellnessnähe unter 20 Minuten.,hoch,https://www.eisenach.info/,2026-08-02
1.2,EGHN,EGHN,39,8.4,Sandown / Isle of Wight,Isle of Wight,Frühling–Herbst,aktiv – Qualitätsliste A+,Sandown Beach,Strand,Zu Fuß/Taxi,15,1.88,Nein,Ja,Ja,Nein,Ja,Zu Fuß/Taxi,15,"Sehr GA-freundliches Inselziel mit Sandown Beach, Brading Marshes und erreichbarem Spa.",hoch,https://www.visitisleofwight.co.uk/,2026-08-13
1.2,LFTH,LFTH,40,8.4,Toulon-Hyères / Porquerolles,,,aktiv – Qualitätsliste,"Plage de l’Almanarre, Hyères",Strand,Fahrrad,18,3.46,Nein,Ja,Nein,Nein,Ja,Mietwagen direkt,,Strand zu Fuß am Grenzwert; Wellness/Thalasso klar.,hoch,https://www.hyeres-tourisme.com/,2026-08-02
1.2,LIRJ,LIRJ,41,8.4,Elba / Marina di Campo,,,aktiv – Qualitätsliste,Marina di Campo Beach,Strand,Fahrrad,8,1.63,Nein,Ja,Nein,Ja,Grenzfall,Mietwagen direkt,,"Strand und Berg klar; Wellness vorhanden, aber nicht so konzentriert wie klassische Spa-Orte.",hoch,https://www.visitelba.info/,2026-08-02
1.2,EDCG,EDCG,42,8.3,Rügen,,,aktiv – Qualitätsliste,Ostseestrände und Seebäder Rügens,Strand,Auto,39,25.53,Nein,Ja,Nein,Nein,Nein,Fahrrad direkt,,"Rügen ist als Insel ein klares Ostsee-, Strand- und Seebäderziel; die Kategorie beschreibt den Urlaubscharakter, nicht nur eine starre Nahgrenze.",hoch,https://www.ruegen.de/,2026-08-02
1.2,EKRN,EKRN,43,8.3,Bornholm,Nordsee/Ostsee,Sommer/Herbst,Passt,"Arnager Beach, Bornholm",Strand,Fahrrad,9,1.69,Nein,Ja,Nein,Nein,Nein,Mietwagen/Bus,25,Nächster nutzbarer Küstenstrand südlich des Flughafens.,mittel,https://bornholm.info/en/,2026-08-02
1.2,LIEA,LIEA,44,8.3,Alghero,,,aktiv – Qualitätsliste,"Spiaggia Maria Pia, Alghero",Strand,Fahrrad,30,5.85,Nein,Ja,Nein,Nein,Grenzfall,Mietwagen direkt,,Strand eindeutig; Wellness eher ergänzend.,hoch,https://www.algheroturismo.eu/,2026-08-02
1.2,EDXH,EDXH,45,8.2,Helgoland / Düne,,,aktiv – Qualitätsliste,Nordstrand Helgoland-Düne,Strand,zu Fuß,7,0.45,Nein,Ja,Nein,Nein,Nein,Taxi/ÖPNV/Transfer prüfen,,Strand direkt am Flugplatz; keine Berg-/See-/Wellness-Kategorie.,hoch,https://www.helgoland.de/,2026-08-02
1.2,LOIH,LOIH,46,8.2,Hohenems / Bregenzerwald,Nordalpen,Ganzjährig,Passt,"Strandbad Hard, Bodensee",See,Auto,19,12.29,Nein,Nein,Ja,Ja,Nein,Mietwagen,25,See und Bergzugang sind beide kurz erreichbar.,hoch,https://www.bregenzerwald.at/en/,2026-08-02
1.2,LSZR,LSZR,47,8.2,Bodensee / Rorschach / Appenzellerland,Alpen/Schweiz,Ganzjährig,Passt,Strandbad Altenrhein,See,zu Fuß,18,1.17,Nein,Nein,Ja,Nein,Nein,Bus/Mietwagen,35,See direkt; Säntis/Appenzell sind nicht innerhalb von 20 Minuten erreichbar.,hoch,https://www.appenzell.ch/en/,2026-08-02
1.2,EDWR,EDWR,48,8.1,Borkum,,,aktiv – Qualitätsliste,Südstrand Borkum,Strand,Fahrrad,17,3.36,Nein,Ja,Nein,Nein,Ja,Fahrrad direkt,,Strand und Wellness kompakt erreichbar.,hoch,https://www.borkum.de/,2026-08-02
1.2,EGHE,EGHE,49,8.1,St Mary’s / Isles of Scilly,,,aktiv – Qualitätsliste,Porthcressa Beach,Strand,Fahrrad,9,1.65,Nein,Ja,Nein,Nein,Nein,Fahrrad in der Umgebung,,Mehrere Strände und Küstenwege direkt; keine weiteren Kategorien nach Definition.,hoch,https://www.visitislesofscilly.com/,2026-08-02
1.2,LIMW,LIMW,50,8.1,Aosta / Pila,Westalpen/Italien,Herbst/Winter,Mit Vorbehalt,Seilbahn Aosta–Pila,Berg,Fahrrad,20,3.9,Nein,Nein,Nein,Ja,Nein,Taxi/Mietwagen,20,Klare Bergdestination; bedeutende Thermen liegen außerhalb von 20 Minuten.,hoch,https://www.lovevda.it/en,2026-08-02
1.2,EGJJ,EGJJ,51,8,Jersey,,,aktiv – Qualitätsliste,St Ouen’s Bay,Strand,Fahrrad,22,4.26,Nein,Ja,Nein,Nein,Grenzfall,Mietwagen direkt,,"Strand klar; Wellness vorhanden, aber kein eigenständiger Thermen-/Spa-Cluster.",hoch,https://www.jersey.com/,2026-08-02
1.2,LFMD,LFMD,52,8,Cannes-Mandelieu,,,aktiv – Qualitätsliste,"Plage du Midi, Cannes",Strand,Fahrrad,14,2.64,Nein,Ja,Nein,Ja,Ja,Mietwagen direkt,,"Starkes Meer-, Wander- und Wellnessprofil.",hoch,https://www.cannes-france.com/,2026-08-02
1.2,LFRF,LFRF,53,8,Granville,Atlantik/Frankreich,Frühling–Herbst,Mit Vorbehalt,"Prévithal Thalasso, Donville",Wellness,Fahrrad,19,3.67,Nein,Ja,Nein,Nein,Ja,Taxi,15,Küste und Thalassotherapie sind klare touristische Merkmale.,hoch,https://www.tourisme-granville-terre-mer.com/en/,2026-08-02
1.2,LSGS,LSGS,54,8,Sion / Wallis,Alpen/Schweiz,Herbst/Winter,Mit Vorbehalt,Walliser Alpen,Berg,Fahrrad,16,2.99,Nein,Nein,Ja,Ja,Grenzfall,Mietwagen/Transfer,60,Sion ist ein klares Berg- und Naturziel im Wallis.,mittel,https://leukerbad.ch/en/,2026-08-02
1.2,EGJA,EGJA,55,7.9,Alderney,Kanalinseln,Frühling–Herbst,Passt,"Braye Beach, Alderney",Strand,Fahrrad,11,2.12,Nein,Ja,Nein,Nein,Nein,Taxi/Bus/zu Fuß,10,Kleine Insel; mehrere Strände ohne Fahrzeug erreichbar.,hoch,https://www.visitalderney.com/,2026-08-02
1.2,EGKA,EGKA,56,8.5,Brighton City / Shoreham,Sussex / Brighton,Ganzjährig,aktiv – Qualitätsliste A+,Brighton und Küste,Stadt / Strand,Zug/Bus/Taxi,20,,Ja,Ja,Ja,Nein,Ja,Zu Fuß/Zug/Bus/Taxi,20,"Shoreham Station, Küste, Adur Valley, South Downs und ein hochwertiges Spa sind gut erreichbar.",hoch,https://www.southdowns.gov.uk/walks/a-walk-from-shoreham-by-sea/,2026-08-13
1.2,EKSS,EKSS,57,7.9,Samsø,Nordsee/Ostsee,Sommer,Passt,"Ballen Strand, Samsø",Strand,Fahrrad,41,7.96,Nein,Ja,Nein,Nein,Nein,Taxi / Bike vorbestellen,15,Mehrere Inselstrände mit kurzer Fahrraddistanz; kein markanter See/Berg/Wellness-Schwerpunkt.,mittel,https://www.visitsamsoe.dk/en/,2026-08-02
1.2,LIDT,LIDT,58,7.9,Trento / Levico,Südalpen/Italien,Ganzjährig,Passt,Lago di Caldonazzo und Trentiner Natur,Natur,Auto,15,9.73,Nein,Nein,Ja,Ja,Grenzfall,Taxi/Mietwagen,20,"Trento und Levico verbinden Berge, Seen und Trentiner Natur.",mittel,https://www.visittrentino.info/en,2026-08-02
1.2,LIEO,LIEO,59,7.9,Olbia / Costa Smeralda,,,aktiv – Qualitätsliste,Strände der Costa Smeralda,Strand,Fahrrad,17,3.19,Nein,Ja,Nein,Grenzfall,Grenzfall,Mietwagen direkt,,Olbia ist ein klares Meer- und Strandziel mit Zugang zur Costa Smeralda.,mittel,https://www.olbiaturismo.it/,2026-08-02
1.2,EGJB,EGJB,60,7.8,Guernsey / St. Peter Port,,,aktiv – Qualitätsliste,Petit Bot Bay,Strand,Fahrrad,9,1.77,Nein,Ja,Nein,Nein,Nein,Mietwagen direkt,,Küstenbuchten per Fahrrad oder kurzer Taxifahrt; keine Berg-/See-/Wellnessprägung.,mittel,https://www.visitguernsey.com/,2026-08-02
1.2,LFMP,LFMP,61,7.8,Perpignan / Collioure,,,aktiv – Qualitätsliste,Lac de Villeneuve-de-la-Raho,See,Auto,19,12.67,Nein,Ja,Ja,Nein,Ja,Mietwagen direkt,,Drei Kategorien genau am 20-Minuten-Grenzwert.,mittel,https://www.perpignantourisme.com/,2026-08-02
1.2,LIPB,LIPB,62,7.8,Bozen / Ritten,Südalpen/Italien,Ganzjährig,Mit Vorbehalt,Ritten und Dolomitenblick,Berg,Fahrrad,25,4.82,Nein,Nein,Ja,Ja,Grenzfall,Bus/Taxi/Mietwagen,20,Bozen und der Ritten sind ein klares Berg- und Naturziel.,hoch,https://www.merano-suedtirol.it/en/,2026-08-02
1.2,LOWS,LOWS,63,7.8,Salzburg / Salzkammergut,Nordalpen,Herbst/Winter,Mit Vorbehalt,Salzburger Altstadt,Stadt,Fahrrad,16,3.08,Ja,Nein,Nein,Ja,Ja,Bahn/Mietwagen,75,"Salzburg verbindet Stadt, Kultur, Berge und ein relevantes Wellnessangebot.",hoch,https://www.gastein.com/en/,2026-08-02
1.2,LDRI,LDRI,64,7.7,Krk / Vrbnik / Šilo,Kvarner,Frühling–Herbst,Passt,"Pešja Beach, Omišalj",Strand,Fahrrad,9,1.79,Nein,Ja,Nein,Nein,Nein,Mietwagen direkt,20,"LDRI liegt auf Krk und erschließt Omišalj, Njivice und die Kvarner-Buchten. Es ist nicht der Flugplatz von Rab; Rab besitzt keinen für die Aquila relevanten Landflugplatz.",hoch,https://www.visitkrk.com/en/,2026-08-02
1.2,LFKB,LFKB,65,7.7,Bastia / Cap Corse,,,aktiv – Qualitätsliste,Plage de la Marana,Strand,Auto,15,10.13,Nein,Ja,Nein,Grenzfall,Nein,Mietwagen direkt,,Strand nah; Bergwanderung am Grenzwert.,mittel,https://www.bastia-tourisme.com/,2026-08-02
1.2,LFKJ,LFKJ,66,7.7,Ajaccio,,,aktiv – Qualitätsliste,"Plage du Ricanto, Ajaccio",Strand,Fahrrad,12,2.27,Nein,Ja,Nein,Grenzfall,Grenzfall,Mietwagen direkt,,Strand direkt; Berg/Wellness ergänzend.,hoch,https://www.ajaccio-tourisme.com/,2026-08-02
1.2,EDHL,EDHL,67,7.6,Lübeck / Travemünde,,,aktiv – Qualitätsliste,"Badestelle Groß Sarau, Ratzeburger See",See,Fahrrad,22,4.17,Nein,Nein,Ja,Nein,Nein,Mietwagen direkt,,Ostseestrand Travemünde liegt in der Regel über 20 Minuten; Ratzeburger See ist der relevante Nahzugang.,hoch,https://www.luebeck-tourismus.de/,2026-08-02
1.2,EGHC,EGHC,68,7.6,Land’s End / Cornwall,,,aktiv – Qualitätsliste,Sennen Cove,Strand,Fahrrad,17,3.26,Nein,Ja,Nein,Nein,Nein,Taxi/ÖPNV/Transfer prüfen,,"Strand per Fahrrad am Grenzwert; starke Küstenwanderung, aber keine Bergkategorie.",mittel,https://www.visitcornwall.com/,2026-08-02
1.2,EKSB,EKSB,69,7.6,Sønderborg / Als,Nordsee/Ostsee,Ganzjährig,Passt,Vemmingbund Strand,Strand,Auto,15,9.6,Nein,Ja,Nein,Nein,Grenzfall,Bus/Taxi/Mietwagen,20,"Strand bestätigt; Wellness ist hochwertig, aber eher Einzelanlage als ausgeprägter Cluster.",hoch,https://www.visitsonderborg.com/,2026-08-02
1.2,LOKL,LOKL,70,7.6,Lienz / Lienzer Dolomiten,,,aktiv – Qualitätsliste,"Zettersfeldbahn, Lienz",Berg,Fahrrad,12,2.33,Nein,Nein,Ja,Ja,Nein,Taxi/ÖPNV/Transfer prüfen,,Asphaltplatz in alpiner Tallage. LDA je Richtung 500 m; bei Nordföhn starke Turbulenz und Fallwind möglich.,hoch,https://www.flugplatz-lienz.at/flugplatz/flugplatzinfo/piloteninfo,2026-08-02
1.2,LSGL,LSGL,71,7.6,Lausanne / Lavaux,,,aktiv – Qualitätsliste,"Plage de Vidy, Genfersee",See,Fahrrad,19,3.61,Nein,Nein,Ja,Nein,Ja,Taxi/ÖPNV/Transfer prüfen,,See per Fahrrad am Grenzwert; hochwertige Spa-Infrastruktur im Stadt-/Ouchy-Bereich.,mittel,https://www.lausanne-tourisme.ch/,2026-08-02
1.2,EDKA,EDKA,72,7.5,Aachen,,,aktiv – Qualitätsliste,"Blausteinsee, Eschweiler",See,Fahrrad,37,7.06,Nein,Nein,Ja,Nein,Ja,Mietwagen direkt,,Blausteinsee mit Rundwegen/Wassernutzung; Carolus Thermen klare Wellness-Destination.,hoch,https://www.aachen-tourismus.de/,2026-08-02
1.2,EDXY,EDXY,73,7.5,Wyk auf Föhr,,,aktiv – Qualitätsliste,"Föhr Südstrand, Wyk",Strand,Fahrrad,8,1.59,Nein,Ja,Nein,Nein,Ja,Fahrrad in der Umgebung,,Strand zu Fuß am Grenzwert; Wellness kompakt erreichbar.,mittel,https://www.foehr.de/,2026-08-02
